Timestamp,What is your age?,What is your Gender,What is your current city/town of residence?,Which of the following best describes your current diet?,How long have you been following your current diet? ,What was your main motivation for choosing your current diet? ,"How many times per week do you consume non-vegetarian foods (meat, fish, eggs)?",How many times per week do you consume vegetarian foods?,"When eating out, how difficult is it to find meals that fit your diet?","How confident are you that your current diet meets your nutritional needs? (1= not at all confident, 5= extremely confident)","How important are ethical or environmental concerns in your food choices? (1= not important, 5= extremely important)",Do you plan to change your dietary pattern in the next 12 months?,who?
2024-10-17 03:01:42.357551,56,Female,Pune,Non-Vegetarian,Less than 1 year,Health,1-2,more,easy,5,4,fuck no,Vedang
2025-01-23 21:14:15.357551,42,Male,Pune,Non-Vegetarian,1–5 years,Health,1-2,more,neutral,5,5,yes,Viraj
2024-11-19 06:35:42.357551,57,Female,Pune,Vegetarian,Less than 1 year,Taste preference,1-2,3-4,easy,1,3,maybe,Yash
2024-10-04 17:34:39.357551,18,Female,Pune,Non-Vegetarian,Less than 1 year,Taste preference,Never,1-2,difficult,4,4,maybe,Viraj
2024-10-04 03:17:17.357941,48,Male,Pune,Other,1–5 years,Health,3-4,more,neutral,4,4,maybe,Viraj
2025-01-31 04:27:24.357941,26,Male,Pune,Vegetarian,more than 10 years,Health,1-2,more,easy,3,3,maybe,Vedang
2025-02-28 12:46:21.357941,18,Female,Pune,Vegetarian,more than 10 years,Taste preference,5,more,neutral,3,4,yes,Viraj
2025-03-20 04:03:54.357941,26,Male,Pune,Vegan,Less than 1 year,Health,1-2,more,easy,5,5,maybe,Viraj
2024-11-19 13:19:21.357941,63,Female,Pune,Non-Vegetarian,1–5 years,Other,Never,more,neutral,4,3,fuck no,Yash
2024-12-15 08:55:08.357941,55,Female,Pune,Vegetarian,more than 10 years,Taste preference,Never,3-4,neutral,4,2,fuck no,Vedang
2025-01-16 11:56:30.357941,19,Female,Pune,Eggetarian,more than 10 years,Taste preference,Never,3-4,easy,3,4,fuck no,Tushar
2025-02-28 10:09:15.357941,61,Male,Pune,Non-Vegetarian,1–5 years,Taste preference,3-4,5,neutral,1,4,fuck no,Viraj
2025-05-31 10:31:54.357941,49,Male,Pune,Vegetarian,Less than 1 year,Taste preference,Never,1-2,easy,4,3,fuck no,Yash
2025-05-25 06:28:05.357941,43,Male,Pune,Non-Vegetarian,more than 10 years,Taste preference,1-2,3-4,neutral,5,4,fuck no,Viraj
2025-07-10 15:27:58.357941,28,Male,Pune,Vegetarian,Less than 1 year,Other,5,1-2,neutral,5,4,fuck no,Vedang
2025-07-27 21:07:58.357941,42,Male,Pune,Non-Vegetarian,Less than 1 year,Other,Never,more,easy,4,4,fuck no,Yash
2025-07-25 04:09:48.357941,36,Male,Pune,Non-Vegetarian,5-10 years,Taste preference,Never,more,neutral,4,4,maybe,Viraj
2024-11-17 17:39:24.357941,47,Male,Pune,Other,Less than 1 year,Family Tradition,1-2,more,neutral,3,4,maybe,Yash
2025-02-17 07:39:58.357941,64,Male,Pune,Non-Vegetarian,more than 10 years,Health,more,5,neutral,3,4,maybe,Tushar
2025-08-30 17:44:29.357941,22,Male,Pune,Vegetarian,1–5 years,Other,5,more,easy,4,5,fuck no,Yash
2025-02-28 20:58:07.357941,31,Male,Pune,Non-Vegetarian,Less than 1 year,Health,1-2,3-4,neutral,4,3,maybe,Yash
2024-10-03 15:14:20.357941,37,Female,Pune,Eggetarian,Less than 1 year,Taste preference,Never,1-2,easy,4,3,fuck no,Yash
2025-01-10 04:21:14.357941,26,Male,Pune,Vegetarian,1–5 years,Health,Never,3-4,easy,4,5,yes,Viraj
2025-03-15 08:57:52.357941,24,Male,Pune,Other,Less than 1 year,Taste preference,Never,more,easy,3,5,fuck no,Yash
2025-01-27 04:54:46.357941,24,Female,Pune,Non-Vegetarian,more than 10 years,Taste preference,Never,more,neutral,4,4,fuck no,Vedang
2025-01-31 18:27:28.357941,52,Female,Pune,Non-Vegetarian,1–5 years,Health,1-2,more,easy,3,5,fuck no,Yash
2025-07-26 23:55:15.357941,29,Male,Pune,Vegetarian,1–5 years,Health,5,more,neutral,1,5,yes,Viraj
2025-05-30 22:38:57.357941,18,Male,Pune,Vegetarian,1–5 years,Health,3-4,more,difficult,3,5,fuck no,Vedang
2025-08-01 04:00:53.357941,36,Female,Pune,Eggetarian,more than 10 years,Health,5,5,neutral,3,3,fuck no,Viraj
2025-02-20 08:58:11.357941,59,Female,Pune,Vegan,more than 10 years,Family Tradition,Never,1-2,neutral,3,3,fuck no,Yash
2025-02-04 00:57:44.357941,42,Female,Pune,Vegetarian,Less than 1 year,Taste preference,1-2,more,neutral,5,3,maybe,Tushar
2024-10-12 20:57:19.357941,28,Female,Pune,Vegetarian,more than 10 years,Health,Never,5,difficult,5,2,maybe,Yash
2025-04-26 13:36:36.357941,53,Female,Pune,Vegetarian,1–5 years,Health,more,more,easy,5,5,yes,Yash
2025-07-06 09:37:46.357941,34,Female,Pune,Non-Vegetarian,more than 10 years,Other,Never,more,neutral,3,2,yes,Yash
2025-07-25 11:38:05.357941,52,Female,Pune,Non-Vegetarian,more than 10 years,Taste preference,3-4,3-4,difficult,4,4,fuck no,Yash
2025-06-13 16:27:22.357941,64,Male,Pune,Non-Vegetarian,5-10 years,Health,1-2,3-4,neutral,4,5,yes,Vedang
2025-07-22 03:02:17.357941,31,Male,Pune,Non-Vegetarian,Less than 1 year,Health,Never,3-4,neutral,4,3,maybe,Tushar
2024-11-20 06:54:32.357941,39,Female,Pune,Vegetarian,1–5 years,Taste preference,1-2,more,difficult,3,3,fuck no,Vedang
2025-09-25 15:03:06.357941,52,Female,Pune,Non-Vegetarian,more than 10 years,Health,1-2,more,difficult,3,3,fuck no,Viraj
2025-04-08 08:07:00.357941,37,Female,Pune,Other,more than 10 years,Health,1-2,more,neutral,4,4,fuck no,Yash
2025-05-31 22:16:00.357941,42,Female,Pune,Non-Vegetarian,Less than 1 year,Taste preference,Never,5,neutral,1,5,maybe,Vedang
2025-08-06 20:25:31.357941,31,Female,Pune,Non-Vegetarian,Less than 1 year,Taste preference,3-4,more,easy,5,4,fuck no,Yash
2024-12-23 01:49:46.357941,25,Female,Pune,Eggetarian,1–5 years,Other,Never,more,neutral,3,3,fuck no,Tushar
2025-08-14 19:42:43.357941,62,Female,Pune,Vegetarian,more than 10 years,Family Tradition,Never,more,easy,4,5,yes,Viraj
2024-10-24 16:50:13.357941,65,Male,Pune,Vegan,5-10 years,Other,1-2,more,easy,4,3,fuck no,Vedang
2025-01-20 05:45:00.357941,56,Male,Pune,Non-Vegetarian,more than 10 years,Health,Never,more,easy,3,5,maybe,Viraj
2025-04-13 04:40:00.357941,36,Male,Pune,Vegetarian,Less than 1 year,Health,Never,Never,easy,5,5,maybe,Yash
2025-07-05 09:48:36.357941,55,Male,Pune,Vegetarian,1–5 years,Taste preference,3-4,3-4,neutral,3,4,fuck no,Yash
2025-06-23 22:18:52.357941,49,Female,Pune,Non-Vegetarian,1–5 years,Taste preference,Never,more,easy,5,4,fuck no,Viraj
2024-10-30 23:50:29.357941,53,Male,Pune,Non-Vegetarian,Less than 1 year,Family Tradition,3-4,3-4,neutral,4,5,yes,Tushar
2024-12-11 23:57:47.357941,29,Male,Pune,Non-Vegetarian,Less than 1 year,Family Tradition,3-4,5,neutral,4,4,maybe,Viraj
2025-03-12 13:36:55.357941,27,Female,Pune,Non-Vegetarian,Less than 1 year,Other,Never,more,neutral,3,4,fuck no,Yash
2025-06-16 09:01:08.357941,26,Male,Pune,Non-Vegetarian,Less than 1 year,Health,Never,more,neutral,2,3,yes,Yash
2025-06-09 16:52:54.357941,63,Prefer not to say,Pune,Non-Vegetarian,1–5 years,Health,1-2,5,neutral,4,5,yes,Viraj
2025-04-17 10:49:15.357941,35,Female,Pune,Non-Vegetarian,1–5 years,Taste preference,Never,1-2,easy,5,5,fuck no,Vedang
2025-09-03 09:41:03.357941,23,Female,Pune,Non-Vegetarian,more than 10 years,Ethics/Religious Beliefs,5,more,easy,4,3,yes,Viraj
2024-11-17 03:17:41.357941,61,Female,Pune,Non-Vegetarian,more than 10 years,Other,1-2,5,easy,4,5,fuck no,Viraj
2024-11-19 09:57:52.357941,44,Female,Pune,Non-Vegetarian,more than 10 years,Taste preference,3-4,1-2,easy,3,1,yes,Vedang
2025-01-07 17:04:11.357941,48,Male,Pune,Non-Vegetarian,5-10 years,Health,1-2,more,difficult,5,5,yes,Vedang
2025-02-06 21:16:07.357941,26,Female,Pune,Eggetarian,Less than 1 year,Other,1-2,3-4,easy,5,2,yes,Yash
2025-09-23 01:56:51.357941,52,Female,Pune,Vegetarian,more than 10 years,Taste preference,Never,5,difficult,3,5,maybe,Viraj
2024-11-01 06:56:31.357941,58,Female,Pune,Vegetarian,more than 10 years,Family Tradition,Never,more,neutral,5,5,fuck no,Tushar
2025-04-26 15:55:19.357941,47,Male,Pune,Non-Vegetarian,1–5 years,Taste preference,more,more,neutral,4,5,maybe,Yash
2024-12-13 00:30:11.357941,35,Female,Pune,Non-Vegetarian,more than 10 years,Ethics/Religious Beliefs,Never,1-2,neutral,3,5,maybe,Yash
2025-09-11 00:28:18.357941,34,Male,Pune,Vegetarian,1–5 years,Other,3-4,5,neutral,2,3,fuck no,Viraj
2025-04-07 20:53:49.357941,27,Female,Pune,Non-Vegetarian,Less than 1 year,Taste preference,5,3-4,neutral,4,5,yes,Yash
2025-02-23 01:24:57.357941,64,Female,Pune,Other,5-10 years,Health,1-2,more,neutral,5,4,fuck no,Yash
2025-06-17 09:42:59.357941,62,Male,Pune,Non-Vegetarian,Less than 1 year,Health,5,3-4,neutral,5,5,yes,Vedang
2025-08-14 15:29:32.357941,64,Female,Pune,Non-Vegetarian,Less than 1 year,Health,1-2,5,difficult,4,4,fuck no,Viraj
2024-11-24 16:53:14.357941,31,Female,Pune,Vegetarian,more than 10 years,Taste preference,3-4,more,difficult,3,4,maybe,Yash
2025-04-13 16:40:28.357941,25,Female,Pune,Non-Vegetarian,Less than 1 year,Health,Never,more,neutral,4,3,fuck no,Vedang
2025-04-25 17:36:04.357941,54,Male,Pune,Vegetarian,Less than 1 year,Taste preference,3-4,1-2,neutral,5,3,maybe,Yash
2025-04-03 00:43:39.357941,20,Male,Pune,Non-Vegetarian,more than 10 years,Health,5,5,neutral,4,5,maybe,Viraj
2025-04-19 23:47:33.357941,49,Male,Pune,Vegetarian,more than 10 years,Family Tradition,1-2,more,easy,4,5,yes,Tushar
2025-06-26 10:28:26.357941,43,Male,Pune,Non-Vegetarian,more than 10 years,Family Tradition,1-2,more,easy,4,5,yes,Yash
2024-11-19 03:58:08.357941,31,Female,Pune,Non-Vegetarian,more than 10 years,Taste preference,1-2,more,neutral,3,4,fuck no,Yash
2025-08-23 09:35:02.357941,27,Male,Pune,Vegan,1–5 years,Family Tradition,1-2,1-2,difficult,3,3,yes,Viraj
2025-07-24 13:05:12.357941,54,Female,Pune,Non-Vegetarian,Less than 1 year,Health,Never,more,neutral,4,3,yes,Yash
2024-11-28 03:05:39.357941,65,Female,Pune,Non-Vegetarian,more than 10 years,Taste preference,more,more,easy,1,3,maybe,Vedang
2024-12-24 17:51:01.357941,25,Female,Pune,Non-Vegetarian,1–5 years,Taste preference,3-4,3-4,neutral,5,5,maybe,Vedang
2024-11-27 14:54:50.357941,36,Male,Pune,Vegetarian,1–5 years,Health,more,more,difficult,4,1,maybe,Yash
2025-02-10 11:33:58.357941,57,Male,Pune,Eggetarian,Less than 1 year,Health,3-4,more,neutral,2,3,maybe,Yash
2025-09-10 22:17:18.357941,45,Female,Pune,Non-Vegetarian,Less than 1 year,Family Tradition,more,3-4,neutral,5,4,fuck no,Yash
2025-07-28 18:49:28.357941,56,Female,Pune,Eggetarian,Less than 1 year,Taste preference,1-2,more,neutral,5,4,maybe,Yash
2024-11-26 05:40:58.357941,44,Male,Pune,Vegetarian,Less than 1 year,Health,3-4,3-4,neutral,4,5,maybe,Viraj
2025-06-26 10:13:04.357941,33,Male,Pune,Non-Vegetarian,Less than 1 year,Health,5,1-2,easy,3,3,fuck no,Yash
2025-03-22 09:43:03.357941,38,Male,Pune,Non-Vegetarian,5-10 years,Health,3-4,more,neutral,5,3,fuck no,Yash
2025-06-06 06:47:01.357941,58,Male,Pune,Eggetarian,Less than 1 year,Health,3-4,more,neutral,3,3,yes,Vedang
2024-12-29 12:48:51.357941,60,Male,Pune,Non-Vegetarian,1–5 years,Taste preference,1-2,more,neutral,3,3,fuck no,Viraj
2025-06-22 10:00:16.357941,43,Female,Pune,Vegetarian,more than 10 years,Family Tradition,Never,more,easy,4,4,yes,Yash
2025-03-26 23:43:10.357941,62,Male,Pune,Non-Vegetarian,more than 10 years,Taste preference,1-2,more,neutral,4,4,maybe,Vedang
2025-08-27 02:51:46.357941,40,Male,Pune,Vegetarian,1–5 years,Health,3-4,more,easy,3,5,yes,Vedang
2024-11-19 04:04:34.357941,41,Female,Pune,Non-Vegetarian,1–5 years,Health,Never,1-2,easy,3,4,fuck no,Yash
2025-02-04 04:33:53.357941,27,Female,Pune,Non-Vegetarian,more than 10 years,Family Tradition,3-4,more,easy,3,3,yes,Viraj
2025-09-24 12:01:30.357941,59,Male,Pune,Non-Vegetarian,Less than 1 year,Health,Never,more,neutral,5,5,maybe,Tushar
2025-08-25 09:29:36.357941,49,Male,Pune,Non-Vegetarian,Less than 1 year,Other,3-4,Never,neutral,5,4,maybe,Yash
2025-06-25 17:12:10.357941,51,Female,Pune,Non-Vegetarian,more than 10 years,Health,1-2,more,easy,3,5,maybe,Viraj
2025-01-01 01:23:27.357941,48,Female,Pune,Eggetarian,Less than 1 year,Health,1-2,3-4,neutral,4,5,maybe,Vedang
2024-10-29 17:56:32.357941,61,Male,Pune,Non-Vegetarian,more than 10 years,Health,1-2,5,easy,5,4,maybe,Viraj
2024-12-16 04:10:38.357941,53,Female,Pune,Vegetarian,1–5 years,Taste preference,3-4,1-2,neutral,1,3,fuck no,Tushar
2025-04-01 10:24:02.357941,54,Female,Pune,Vegetarian,more than 10 years,Taste preference,Never,3-4,difficult,5,5,maybe,Vedang
2025-09-10 20:40:26.357941,28,Male,Pune,Non-Vegetarian,more than 10 years,Family Tradition,1-2,more,easy,4,3,fuck no,Yash
2025-07-18 05:46:38.357941,34,Male,Pune,Vegetarian,more than 10 years,Health,5,more,easy,4,4,fuck no,Viraj
2025-03-19 20:02:00.357941,36,Male,Pune,Non-Vegetarian,Less than 1 year,Taste preference,Never,more,easy,1,5,maybe,Yash
2024-10-06 07:45:54.357941,31,Male,Pune,Vegetarian,1–5 years,Taste preference,Never,3-4,neutral,4,4,fuck no,Vedang
2025-06-04 20:39:14.357941,51,Male,Pune,Vegetarian,1–5 years,Health,Never,more,neutral,4,4,maybe,Yash
2025-08-02 03:21:09.357941,61,Female,Pune,Non-Vegetarian,Less than 1 year,Taste preference,1-2,more,difficult,5,3,fuck no,Vedang
2024-11-23 03:30:55.357941,23,Male,Pune,Vegetarian,1–5 years,Taste preference,Never,1-2,easy,1,3,fuck no,Tushar
2025-02-17 23:33:28.357941,24,Female,Pune,Non-Vegetarian,Less than 1 year,Health,more,3-4,easy,3,5,maybe,Tushar
2025-03-07 13:34:59.357941,24,Male,Pune,Eggetarian,Less than 1 year,Health,1-2,1-2,difficult,3,4,fuck no,Yash
2025-02-16 08:50:28.357941,54,Female,Pune,Non-Vegetarian,more than 10 years,Health,Never,more,neutral,5,3,maybe,Yash
2025-02-10 03:28:00.357941,34,Male,Pune,Non-Vegetarian,1–5 years,Taste preference,Never,more,neutral,3,3,fuck no,Tushar
2025-04-27 02:36:20.357941,19,Male,Pune,Vegetarian,more than 10 years,Taste preference,Never,3-4,easy,3,4,fuck no,Viraj
2025-07-24 11:40:02.357941,31,Female,Pune,Vegetarian,Less than 1 year,Taste preference,1-2,5,easy,5,1,yes,Vedang
2024-10-10 20:01:20.357941,47,Male,Pune,Vegetarian,more than 10 years,Health,1-2,3-4,neutral,3,3,fuck no,Tushar
2025-06-01 10:24:38.357941,59,Male,Pune,Non-Vegetarian,more than 10 years,Other,Never,3-4,easy,4,3,fuck no,Viraj
2025-07-06 04:28:05.357941,28,Female,Pune,Non-Vegetarian,Less than 1 year,Health,1-2,3-4,neutral,4,3,yes,Vedang
2025-03-19 21:06:23.357941,62,Female,Pune,Vegetarian,more than 10 years,Other,Never,more,neutral,3,3,maybe,Tushar
2025-08-16 09:21:31.357941,52,Female,Pune,Non-Vegetarian,more than 10 years,Taste preference,3-4,5,difficult,5,3,yes,Vedang
2025-06-14 19:19:00.357941,29,Male,Pune,Vegetarian,more than 10 years,Health,Never,more,neutral,3,2,fuck no,Tushar
2025-06-04 10:23:17.357941,51,Male,Pune,Non-Vegetarian,more than 10 years,Health,Never,more,easy,4,5,fuck no,Yash
2025-04-02 06:53:56.357941,50,Male,Pune,Non-Vegetarian,more than 10 years,Health,more,5,easy,5,3,maybe,Vedang
2025-09-21 15:35:55.357941,60,Male,Pune,Non-Vegetarian,1–5 years,Family Tradition,1-2,1-2,easy,3,3,maybe,Vedang
2025-02-28 08:18:24.357941,50,Male,Pune,Non-Vegetarian,more than 10 years,Health,3-4,3-4,difficult,4,4,yes,Tushar
2025-07-12 06:11:43.357941,55,Male,Pune,Non-Vegetarian,more than 10 years,Family Tradition,Never,more,easy,3,4,yes,Viraj
2024-10-31 00:46:25.357941,23,Male,Pune,Vegetarian,1–5 years,Health,3-4,3-4,neutral,3,3,fuck no,Viraj
2025-04-04 06:30:02.357941,40,Male,Pune,Vegetarian,more than 10 years,Health,more,more,easy,3,5,yes,Vedang
2024-11-16 05:34:08.357941,59,Female,Pune,Other,1–5 years,Health,1-2,3-4,neutral,3,5,yes,Yash
2024-12-25 21:47:31.357941,29,Male,Pune,Vegetarian,Less than 1 year,Taste preference,1-2,1-2,easy,5,2,maybe,Yash
2025-08-21 10:58:58.357941,28,Male,Pune,Non-Vegetarian,more than 10 years,Family Tradition,3-4,more,neutral,5,4,maybe,Vedang
2024-12-01 07:46:03.357941,35,Male,Pune,Non-Vegetarian,Less than 1 year,Taste preference,1-2,5,difficult,1,4,maybe,Viraj
2025-09-05 07:30:22.357941,64,Male,Pune,Vegetarian,more than 10 years,Taste preference,3-4,more,neutral,4,3,fuck no,Viraj
2025-03-17 21:48:36.357941,18,Male,Pune,Vegetarian,1–5 years,Taste preference,5,more,difficult,1,5,fuck no,Viraj
2024-11-17 07:24:21.357941,38,Male,Pune,Non-Vegetarian,Less than 1 year,Health,1-2,more,easy,4,3,maybe,Vedang
2025-06-24 18:34:08.357941,37,Male,Pune,Non-Vegetarian,more than 10 years,Ethics/Religious Beliefs,5,more,neutral,3,4,fuck no,Yash
2025-08-30 15:30:37.357941,48,Male,Pune,Vegetarian,more than 10 years,Family Tradition,Never,5,easy,3,5,yes,Yash
2024-10-02 06:09:55.357941,28,Male,Pune,Vegetarian,more than 10 years,Ethics/Religious Beliefs,Never,5,neutral,4,5,fuck no,Tushar
2025-08-18 03:39:08.357941,48,Female,Pune,Non-Vegetarian,more than 10 years,Health,Never,more,easy,4,3,maybe,Vedang
2025-02-09 16:51:11.357941,59,Male,Pune,Vegetarian,more than 10 years,Taste preference,Never,3-4,easy,3,5,maybe,Yash
2025-01-07 19:25:06.357941,41,Female,Pune,Vegetarian,more than 10 years,Health,1-2,more,neutral,5,4,maybe,Yash
